product_name,total_revenue,total_quantity
Canon EOS R5 Camera,3899.99,1
LG OLED TV,2599.98,2
MacBook Pro 16-inch,2499.99,1
Apple MacBook Pro 16-inch,2399.0,1
iPhone 14 Pro,1999.98,2
Peloton Bike,1895.0,1
HP Spectre x360 Laptop,1599.99,1
Roomba i7+,1599.98,2
Garmin Forerunner 945,1599.97,3
Samsung Odyssey G9 Gaming Monitor,1499.99,1
Samsung Galaxy Tab S8,1499.98,2
Microsoft Surface Laptop 4,1299.99,1
Apple MacBook Air,1199.99,1
Samsung QLED 4K TV,1199.99,1
Blueair Classic 480i,1199.98,2
Apple iPad Air,1199.98,2
Apple Watch Series 8,1199.97,3
Dyson Supersonic Hair Dryer,1199.97,3
GoPro HERO10 Black,1199.97,3
Sony WH-1000XM4 Headphones,1049.97,3
Garmin Fenix 6X Pro,999.99,1
Google Pixel 6 Pro,899.99,1
De'Longhi Magnifica Espresso Machine,899.99,1
Bose SoundLink Revolve+ Speaker,899.97,3
Nintendo Switch,899.97,3
Canon EOS Rebel T7i DSLR Camera,749.99,1
Samsung Odyssey G7 Gaming Monitor,699.99,1
Bowflex SelectTech 1090 Adjustable Dumbbells,699.99,1
Shark IQ Robot Vacuum,699.98,2
Fitbit Versa 3,689.85,3
Eufy RoboVac 11S,659.97,3
Google Pixelbook Go,649.99,1
Garmin Edge 530,599.98,2
Babolat Pure Drive Tennis Racket,599.97,3
Breville Smart Grill,599.9,2
Anova Precision Oven,599.0,1
Apple AirPods Max,549.0,1
Nike Air Force 1,539.94,6
Keurig K-Elite Coffee Maker,529.97,3
Dyson Pure Cool Link,499.99,1
KitchenAid Artisan Stand Mixer,499.99,1
Sony PlayStation 5,499.99,1
Dyson V11 Vacuum,499.99,1
Apple AirPods Pro,499.98,2
North Face Down Jacket,499.98,2
Polar Vantage V2,499.95,1
Breville Nespresso Creatista Plus,499.95,1
Manduka PRO Yoga Mat,479.96,4
Ray-Ban Aviator Sunglasses,464.97,3
Google Nest Hub Max,459.98,2
Philips Sonicare DiamondClean Toothbrush,459.98,2
iRobot Braava Jet M6,449.99,1
GoPro HERO9 Black,449.99,1
Yeti Tundra Haul Portable Wheeled Cooler,399.99,1
Dyson V8 Absolute,399.99,1
Bowflex SelectTech 552 Dumbbells,399.99,1
Philips Airfryer XXL,399.98,2
Ninja Foodi Pressure Cooker,399.98,2
Cuisinart Coffee Center,399.9,2
Sonos Beam Soundbar,399.0,1
Anova Precision Cooker,398.0,2
Nike Metcon 6,389.97,3
KitchenAid Stand Mixer,379.99,1
Adidas Ultraboost Shoes,359.98,2
Adidas Ultraboost Running Shoes,359.98,2
Apple TV 4K,358.0,2
Vitamix Explorian Blender,349.99,1
YETI Tundra 65 Cooler,349.99,1
Hyperice Hypervolt Massager,349.0,1
Adidas Originals Superstar Sneakers,319.96,4
YETI Tundra 45 Cooler,299.99,1
Samsung Galaxy Watch 4,299.99,1
Bose QuietComfort 35 Headphones,299.99,1
Garmin Forerunner 245,299.99,1
Breville Smart Oven,299.99,1
Bose SoundSport Wireless Earbuds,299.98,2
Fitbit Luxe,299.9,2
Bose QuietComfort 35 II Wireless Headphones,299.0,1
Lululemon Align Leggings,294.0,3
Patagonia Better Sweater,279.98,2
Instant Pot Duo Evo Plus,279.98,2
Nike Air Force 1 Sneakers,270.0,3
Instant Pot Duo,269.97,3
Kindle Paperwhite,259.98,2
On Running Cloud Shoes,259.98,2
Nike Air Zoom Pegasus 37,259.98,2
Fitbit Charge 5,259.98,2
