order_date,total_revenue,total_orders
2024-01-01,1999.98,1
2024-01-02,499.99,1
2024-01-03,209.97,1
2024-01-04,63.96,1
2024-01-05,89.99,1
2024-01-06,149.95,1
2024-01-07,2499.99,1
2024-01-08,1199.98,1
2024-01-09,539.94,1
2024-01-10,51.98,1
2024-01-11,129.99,1
2024-01-12,599.97,1
2024-01-13,1499.98,1
2024-01-14,189.99,1
2024-01-15,499.98,1
2024-01-16,107.97,1
2024-01-17,399.99,1
2024-01-18,479.96,1
2024-01-19,999.98,1
2024-01-20,99.99,1
2024-01-21,179.97,1
2024-01-22,45.98,1
2024-01-23,49.99,1
2024-01-24,89.97,1
2024-01-25,299.99,1
2024-01-26,179.99,1
2024-01-27,359.98,1
2024-01-28,38.97,1
2024-01-29,29.99,1
2024-01-30,259.98,1
2024-01-31,699.98,1
2024-02-01,269.97,1
2024-02-02,149.95,1
2024-02-03,79.96,1
2024-02-04,79.98,1
2024-02-05,1895.0,1
2024-02-06,1199.97,1
2024-02-07,1599.98,1
2024-02-08,239.96,1
2024-02-09,74.97,1
2024-02-10,105.0,1
2024-02-11,259.98,1
2024-02-12,1199.97,1
2024-02-13,199.99,1
2024-02-14,279.98,1
2024-02-15,130.0,1
2024-02-16,52.0,1
2024-02-17,239.94,1
2024-02-18,259.98,1
2024-02-19,299.99,1
2024-02-20,464.97,1
2024-02-21,53.98,1
2024-02-22,49.0,1
2024-02-23,249.95,1
2024-02-24,239.96,1
2024-02-25,499.99,1
2024-02-26,149.95,1
2024-02-27,84.0,1
2024-02-28,46.0,1
2024-02-29,349.0,1
2024-03-01,899.97,1
2024-03-02,399.98,1
2024-03-03,99.9,1
2024-03-04,75.96,1
2024-03-05,102.0,1
2024-03-06,599.98,1
2024-03-07,1199.99,1
2024-03-08,659.97,1
2024-03-09,239.96,1
2024-03-10,21.98,1
2024-03-11,78.0,1
2024-03-12,389.97,1
2024-03-13,1599.99,1
2024-03-14,899.99,1
2024-03-15,249.95,1
2024-03-16,59.96,1
2024-03-17,32.0,1
2024-03-18,209.97,1
2024-03-19,499.98,1
2024-03-20,499.99,1
2024-03-21,179.98,1
2024-03-22,38.97,1
2024-03-23,100.0,1
2024-03-24,149.94,1
2024-03-25,99.99,1
2024-03-26,2599.98,1
2024-03-27,239.97,1
2024-03-28,55.96,1
2024-03-29,105.0,1
2024-03-30,259.98,1
2024-03-31,199.98,1
2024-04-01,179.99,1
2024-04-02,319.96,1
2024-04-03,44.97,1
2024-04-04,68.0,1
2024-04-05,999.99,1
2024-04-06,899.97,1
2024-04-07,349.99,1
2024-04-08,119.94,1
2024-04-09,25.98,1
2024-04-10,82.0,1
2024-04-11,219.98,1
2024-04-12,3899.99,1
2024-04-13,699.98,1
2024-04-14,119.97,1
2024-04-15,43.96,1
2024-04-16,6.5,1
2024-04-17,399.99,1
2024-04-18,459.98,1
2024-04-19,159.99,1
2024-04-20,59.96,1
2024-04-21,37.98,1
2024-04-22,15.0,1
2024-04-23,689.85,1
2024-04-24,249.99,1
2024-04-25,599.9,1
2024-04-26,149.97,1
2024-04-27,67.96,1
2024-04-28,29.98,1
2024-04-29,249.99,1
2024-04-30,1199.98,1
2024-05-01,89.99,1
2024-05-02,64.95,1
2024-05-03,44.97,1
2024-05-04,30.0,1
2024-05-05,199.99,1
2024-05-06,499.99,1
2024-05-07,799.98,1
2024-05-08,294.0,1
2024-05-09,17.98,1
2024-05-10,36.0,1
2024-05-11,159.8,1
2024-05-12,1299.99,1
2024-05-13,159.98,1
2024-05-14,139.96,1
2024-05-15,29.97,1
2024-05-16,6.8,1
2024-05-17,199.9,1
2024-05-18,1499.99,1
2024-05-19,139.99,1
2024-05-20,134.97,1
2024-05-21,23.98,1
2024-05-22,29.5,1
2024-05-23,299.99,1
2024-05-24,549.0,1
2024-05-25,399.9,1
2024-05-26,196.0,1
2024-05-27,32.97,1
2024-05-28,25.0,1
2024-05-29,299.98,1
2024-05-30,349.99,1
2024-05-31,399.98,1
2024-06-01,164.97,1
2024-06-02,33.98,1
2024-06-03,59.0,1
2024-06-04,299.99,1
2024-06-05,899.99,1
2024-06-06,499.95,1
2024-06-07,99.96,1
2024-06-08,23.97,1
2024-06-09,36.0,1
2024-06-10,69.98,1
2024-06-11,1199.99,1
2024-06-12,199.99,1
2024-06-13,149.95,1
2024-06-14,35.96,1
2024-06-15,16.99,1
2024-06-16,149.97,1
2024-06-17,699.99,1
2024-06-18,279.98,1
2024-06-19,104.97,1
2024-06-20,19.98,1
2024-06-21,29.5,1
2024-06-22,699.99,1
2024-06-23,149.97,1
2024-06-24,99.98,1
2024-06-25,59.6,1
2024-06-26,35.97,1
2024-06-27,68.0,1
2024-06-28,146.0,1
2024-06-29,649.99,1
2024-06-30,399.99,1
2024-07-01,179.97,1
2024-07-02,25.98,1
2024-07-03,190.0,1
2024-07-04,499.95,1
2024-07-05,399.0,1
2024-07-06,398.0,1
2024-07-07,139.96,1
2024-07-08,32.97,1
2024-07-09,18.0,1
2024-07-10,169.95,1
2024-07-11,199.99,1
2024-07-12,199.95,1
2024-07-13,359.98,1
2024-07-14,23.98,1
2024-07-15,125.0,1
2024-07-16,449.99,1
2024-07-17,358.0,1
2024-07-18,99.95,1
2024-07-19,179.97,1
2024-07-20,29.98,1
2024-07-21,52.0,1
2024-07-22,399.99,1
2024-07-23,299.99,1
2024-07-24,379.99,1
2024-07-25,196.0,1
2024-07-26,50.97,1
2024-07-27,79.0,1
2024-07-28,129.0,1
2024-07-29,749.99,1
2024-07-30,339.98,1
2024-07-31,39.6,1
2024-08-01,32.97,1
2024-08-02,58.0,1
2024-08-03,349.99,1
2024-08-04,2399.0,1
2024-08-05,449.99,1
2024-08-06,149.97,1
2024-08-07,25.98,1
2024-08-08,27.0,1
2024-08-09,599.99,1
2024-08-10,199.96,1
2024-08-11,459.98,1
2024-08-12,89.98,1
2024-08-13,80.97,1
2024-08-14,6.7,1
2024-08-15,299.9,1
2024-08-16,169.0,1
2024-08-17,599.0,1
2024-08-18,259.96,1
2024-08-19,19.98,1
2024-08-20,24.0,1
2024-08-21,98.85,1
2024-08-22,299.0,1
2024-08-23,159.99,1
2024-08-24,270.0,1
2024-08-25,32.97,1
2024-08-26,55.0,1
2024-08-27,59.98,1
2026-06-01,66.0,2
2026-06-02,66.0,2
2026-06-03,235.0,2
2026-06-04,184.0,2
2026-06-05,95.0,2
