report_type,dimension,metric,value
daily_revenue,2024-01-01,total_revenue,1999.98
daily_revenue,2024-01-01,total_orders,1.0
daily_revenue,2024-01-02,total_revenue,499.99
daily_revenue,2024-01-02,total_orders,1.0
daily_revenue,2024-01-03,total_revenue,209.97
daily_revenue,2024-01-03,total_orders,1.0
daily_revenue,2024-01-04,total_revenue,63.96
daily_revenue,2024-01-04,total_orders,1.0
daily_revenue,2024-01-05,total_revenue,89.99
daily_revenue,2024-01-05,total_orders,1.0
daily_revenue,2024-01-06,total_revenue,149.95
daily_revenue,2024-01-06,total_orders,1.0
daily_revenue,2024-01-07,total_revenue,2499.99
daily_revenue,2024-01-07,total_orders,1.0
daily_revenue,2024-01-08,total_revenue,1199.98
daily_revenue,2024-01-08,total_orders,1.0
daily_revenue,2024-01-09,total_revenue,539.94
daily_revenue,2024-01-09,total_orders,1.0
daily_revenue,2024-01-10,total_revenue,51.98
daily_revenue,2024-01-10,total_orders,1.0
daily_revenue,2024-01-11,total_revenue,129.99
daily_revenue,2024-01-11,total_orders,1.0
daily_revenue,2024-01-12,total_revenue,599.97
daily_revenue,2024-01-12,total_orders,1.0
daily_revenue,2024-01-13,total_revenue,1499.98
daily_revenue,2024-01-13,total_orders,1.0
daily_revenue,2024-01-14,total_revenue,189.99
daily_revenue,2024-01-14,total_orders,1.0
daily_revenue,2024-01-15,total_revenue,499.98
daily_revenue,2024-01-15,total_orders,1.0
daily_revenue,2024-01-16,total_revenue,107.97
daily_revenue,2024-01-16,total_orders,1.0
daily_revenue,2024-01-17,total_revenue,399.99
daily_revenue,2024-01-17,total_orders,1.0
daily_revenue,2024-01-18,total_revenue,479.96
daily_revenue,2024-01-18,total_orders,1.0
daily_revenue,2024-01-19,total_revenue,999.98
daily_revenue,2024-01-19,total_orders,1.0
daily_revenue,2024-01-20,total_revenue,99.99
daily_revenue,2024-01-20,total_orders,1.0
daily_revenue,2024-01-21,total_revenue,179.97
daily_revenue,2024-01-21,total_orders,1.0
daily_revenue,2024-01-22,total_revenue,45.98
daily_revenue,2024-01-22,total_orders,1.0
daily_revenue,2024-01-23,total_revenue,49.99
daily_revenue,2024-01-23,total_orders,1.0
daily_revenue,2024-01-24,total_revenue,89.97
daily_revenue,2024-01-24,total_orders,1.0
daily_revenue,2024-01-25,total_revenue,299.99
daily_revenue,2024-01-25,total_orders,1.0
daily_revenue,2024-01-26,total_revenue,179.99
daily_revenue,2024-01-26,total_orders,1.0
daily_revenue,2024-01-27,total_revenue,359.98
daily_revenue,2024-01-27,total_orders,1.0
daily_revenue,2024-01-28,total_revenue,38.97
daily_revenue,2024-01-28,total_orders,1.0
daily_revenue,2024-01-29,total_revenue,29.99
daily_revenue,2024-01-29,total_orders,1.0
daily_revenue,2024-01-30,total_revenue,259.98
daily_revenue,2024-01-30,total_orders,1.0
daily_revenue,2024-01-31,total_revenue,699.98
daily_revenue,2024-01-31,total_orders,1.0
daily_revenue,2024-02-01,total_revenue,269.97
daily_revenue,2024-02-01,total_orders,1.0
daily_revenue,2024-02-02,total_revenue,149.95
daily_revenue,2024-02-02,total_orders,1.0
daily_revenue,2024-02-03,total_revenue,79.96
daily_revenue,2024-02-03,total_orders,1.0
daily_revenue,2024-02-04,total_revenue,79.98
daily_revenue,2024-02-04,total_orders,1.0
daily_revenue,2024-02-05,total_revenue,1895.0
daily_revenue,2024-02-05,total_orders,1.0
daily_revenue,2024-02-06,total_revenue,1199.97
daily_revenue,2024-02-06,total_orders,1.0
daily_revenue,2024-02-07,total_revenue,1599.98
daily_revenue,2024-02-07,total_orders,1.0
daily_revenue,2024-02-08,total_revenue,239.96
daily_revenue,2024-02-08,total_orders,1.0
daily_revenue,2024-02-09,total_revenue,74.97
daily_revenue,2024-02-09,total_orders,1.0
daily_revenue,2024-02-10,total_revenue,105.0
daily_revenue,2024-02-10,total_orders,1.0
daily_revenue,2024-02-11,total_revenue,259.98
daily_revenue,2024-02-11,total_orders,1.0
daily_revenue,2024-02-12,total_revenue,1199.97
daily_revenue,2024-02-12,total_orders,1.0
daily_revenue,2024-02-13,total_revenue,199.99
daily_revenue,2024-02-13,total_orders,1.0
daily_revenue,2024-02-14,total_revenue,279.98
daily_revenue,2024-02-14,total_orders,1.0
daily_revenue,2024-02-15,total_revenue,130.0
daily_revenue,2024-02-15,total_orders,1.0
daily_revenue,2024-02-16,total_revenue,52.0
daily_revenue,2024-02-16,total_orders,1.0
daily_revenue,2024-02-17,total_revenue,239.94
daily_revenue,2024-02-17,total_orders,1.0
daily_revenue,2024-02-18,total_revenue,259.98
daily_revenue,2024-02-18,total_orders,1.0
daily_revenue,2024-02-19,total_revenue,299.99
daily_revenue,2024-02-19,total_orders,1.0
daily_revenue,2024-02-20,total_revenue,464.97
daily_revenue,2024-02-20,total_orders,1.0
daily_revenue,2024-02-21,total_revenue,53.98
daily_revenue,2024-02-21,total_orders,1.0
daily_revenue,2024-02-22,total_revenue,49.0
daily_revenue,2024-02-22,total_orders,1.0
daily_revenue,2024-02-23,total_revenue,249.95
daily_revenue,2024-02-23,total_orders,1.0
daily_revenue,2024-02-24,total_revenue,239.96
daily_revenue,2024-02-24,total_orders,1.0
daily_revenue,2024-02-25,total_revenue,499.99
daily_revenue,2024-02-25,total_orders,1.0
daily_revenue,2024-02-26,total_revenue,149.95
daily_revenue,2024-02-26,total_orders,1.0
daily_revenue,2024-02-27,total_revenue,84.0
daily_revenue,2024-02-27,total_orders,1.0
daily_revenue,2024-02-28,total_revenue,46.0
daily_revenue,2024-02-28,total_orders,1.0
daily_revenue,2024-02-29,total_revenue,349.0
daily_revenue,2024-02-29,total_orders,1.0
daily_revenue,2024-03-01,total_revenue,899.97
daily_revenue,2024-03-01,total_orders,1.0
daily_revenue,2024-03-02,total_revenue,399.98
daily_revenue,2024-03-02,total_orders,1.0
daily_revenue,2024-03-03,total_revenue,99.9
daily_revenue,2024-03-03,total_orders,1.0
daily_revenue,2024-03-04,total_revenue,75.96
daily_revenue,2024-03-04,total_orders,1.0
daily_revenue,2024-03-05,total_revenue,102.0
daily_revenue,2024-03-05,total_orders,1.0
daily_revenue,2024-03-06,total_revenue,599.98
daily_revenue,2024-03-06,total_orders,1.0
daily_revenue,2024-03-07,total_revenue,1199.99
daily_revenue,2024-03-07,total_orders,1.0
daily_revenue,2024-03-08,total_revenue,659.97
daily_revenue,2024-03-08,total_orders,1.0
daily_revenue,2024-03-09,total_revenue,239.96
daily_revenue,2024-03-09,total_orders,1.0
daily_revenue,2024-03-10,total_revenue,21.98
daily_revenue,2024-03-10,total_orders,1.0
daily_revenue,2024-03-11,total_revenue,78.0
daily_revenue,2024-03-11,total_orders,1.0
daily_revenue,2024-03-12,total_revenue,389.97
daily_revenue,2024-03-12,total_orders,1.0
daily_revenue,2024-03-13,total_revenue,1599.99
daily_revenue,2024-03-13,total_orders,1.0
daily_revenue,2024-03-14,total_revenue,899.99
daily_revenue,2024-03-14,total_orders,1.0
daily_revenue,2024-03-15,total_revenue,249.95
daily_revenue,2024-03-15,total_orders,1.0
daily_revenue,2024-03-16,total_revenue,59.96
daily_revenue,2024-03-16,total_orders,1.0
daily_revenue,2024-03-17,total_revenue,32.0
daily_revenue,2024-03-17,total_orders,1.0
daily_revenue,2024-03-18,total_revenue,209.97
daily_revenue,2024-03-18,total_orders,1.0
daily_revenue,2024-03-19,total_revenue,499.98
daily_revenue,2024-03-19,total_orders,1.0
daily_revenue,2024-03-20,total_revenue,499.99
daily_revenue,2024-03-20,total_orders,1.0
daily_revenue,2024-03-21,total_revenue,179.98
daily_revenue,2024-03-21,total_orders,1.0
daily_revenue,2024-03-22,total_revenue,38.97
daily_revenue,2024-03-22,total_orders,1.0
daily_revenue,2024-03-23,total_revenue,100.0
daily_revenue,2024-03-23,total_orders,1.0
daily_revenue,2024-03-24,total_revenue,149.94
daily_revenue,2024-03-24,total_orders,1.0
daily_revenue,2024-03-25,total_revenue,99.99
daily_revenue,2024-03-25,total_orders,1.0
daily_revenue,2024-03-26,total_revenue,2599.98
daily_revenue,2024-03-26,total_orders,1.0
daily_revenue,2024-03-27,total_revenue,239.97
daily_revenue,2024-03-27,total_orders,1.0
daily_revenue,2024-03-28,total_revenue,55.96
daily_revenue,2024-03-28,total_orders,1.0
daily_revenue,2024-03-29,total_revenue,105.0
daily_revenue,2024-03-29,total_orders,1.0
daily_revenue,2024-03-30,total_revenue,259.98
daily_revenue,2024-03-30,total_orders,1.0
daily_revenue,2024-03-31,total_revenue,199.98
daily_revenue,2024-03-31,total_orders,1.0
daily_revenue,2024-04-01,total_revenue,179.99
daily_revenue,2024-04-01,total_orders,1.0
daily_revenue,2024-04-02,total_revenue,319.96
daily_revenue,2024-04-02,total_orders,1.0
daily_revenue,2024-04-03,total_revenue,44.97
daily_revenue,2024-04-03,total_orders,1.0
daily_revenue,2024-04-04,total_revenue,68.0
daily_revenue,2024-04-04,total_orders,1.0
daily_revenue,2024-04-05,total_revenue,999.99
daily_revenue,2024-04-05,total_orders,1.0
daily_revenue,2024-04-06,total_revenue,899.97
daily_revenue,2024-04-06,total_orders,1.0
daily_revenue,2024-04-07,total_revenue,349.99
daily_revenue,2024-04-07,total_orders,1.0
daily_revenue,2024-04-08,total_revenue,119.94
daily_revenue,2024-04-08,total_orders,1.0
daily_revenue,2024-04-09,total_revenue,25.98
daily_revenue,2024-04-09,total_orders,1.0
daily_revenue,2024-04-10,total_revenue,82.0
